date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:24	635/635	------	200	untouched ('OK')	text/plain	etag:W/%22a9b-19c2446e198%22	https://www.nba.com/robots.txt		(from )
18:09:24	514550/514550	------	200	untouched ('OK')	text/html	date:Mon,%2009%20Feb%202026%2008:40:38%20GMT	https://www.nba.com/	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/index.html	(from )
18:09:25	18292/18292	------	200	untouched ('')	text/javascript	etag:%2260af2858efc8ec62eb7226b691f83d98%22	https://cdn.nba.com/user-consent/index-gam.min.js	C:/My%20Web%20Sites/NBA_Clone/cdn.nba.com/user-consent/index-gam.min.js	(from https://www.nba.com/)
18:09:25	156/156	------	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2009%20Feb%202026%2008:41:08%20GMT	https://www.nba.com/stats/lineups/lineups-tool	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/stats/lineups/lineups-tool.53.delayed	(from https://www.nba.com/)
18:09:25	697/697	------	200	untouched ('')	application/json	etag:W/%222b9-19c2446e198%22	https://www.nba.com/site-manifest.json	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/site-manifest.json	(from https://www.nba.com/)
18:09:25	367/367	------	200	untouched ('')	application/javascript	etag:W/%2216f-19c2446e198%22	https://www.nba.com/theme-loader.js	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/theme-loader.js	(from https://www.nba.com/)
18:09:25	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Feb%202026%2008:41:37%20GMT	https://global.nba.com/store-link-handler	C:/My%20Web%20Sites/NBA_Clone/global.nba.com/store-link-handler.8b.delayed	(from https://www.nba.com/)
18:09:25	1150/1150	------	200	untouched ('')	image/x-icon	etag:W/%2247e-19c2446e198%22	https://www.nba.com/favicon.ico	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/favicon.ico	(from https://www.nba.com/)
18:09:25	1566/1566	------	200	untouched ('')	image/png	etag:W/%2261e-19c2446e198%22	https://www.nba.com/favicon-32x32.png	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/favicon-32x32.png	(from https://www.nba.com/)
18:09:25	156/156	------	403	error ('Forbidden')	text/html	etag:%22135c8a2eed3711999b91d85b41904d27:1735847945.298387%22	https://store.nba.com/jerseys/d-2338402972+z-930066-3838517996?_s=bm-nbacom-hp-jerseys	C:/My%20Web%20Sites/NBA_Clone/store.nba.com/jerseys/d-2338402972+z-930066-3838517996.8d78aa.delayed	(from https://www.nba.com/)
18:09:25	1017/1017	------	200	untouched ('')	image/png	etag:W/%223f9-19c2446e198%22	https://www.nba.com/favicon-16x16.png	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/favicon-16x16.png	(from https://www.nba.com/)
18:09:25	7949/7949	------	200	untouched ('')	image/png	etag:W/%221f0d-19c2446e198%22	https://www.nba.com/apple-touch-icon.png	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/apple-touch-icon.png	(from https://www.nba.com/)
18:09:25	156/156	------	403	error ('Forbidden')	text/html	etag:%22135c8a2eed3711999b91d85b41904d27:1735847945.298387%22	https://store.nba.com/men/ga-12+z-9834227610-3678762441?_s=bm-nbacom-hp-mens	C:/My%20Web%20Sites/NBA_Clone/store.nba.com/men/ga-12+z-9834227610-3678762441.8e863e.delayed	(from https://www.nba.com/)
18:09:25	2236/2236	------	200	untouched ('OK')	image/svg+xml	etag:W/%228bc-19c2446e198%22	https://www.nba.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/safari-pinned-tab.svg	(from https://www.nba.com/)
18:09:25	1921359/1921359	------	200	untouched ('OK')	text/css	etag:W/%221d514f-19c2446e198%22	https://www.nba.com/_next/static/css/91a6753dacb10bba.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/91a6753dacb10bba.css	(from https://www.nba.com/)
18:09:25	44059/44059	------	200	untouched ('OK')	text/css	etag:W/%22ac1b-19c2446e198%22	https://www.nba.com/_next/static/css/9162e13c7ac38779.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/9162e13c7ac38779.css	(from https://www.nba.com/)
18:09:25	88916/88916	------	200	untouched ('OK')	text/css	etag:W/%2215b54-19c2446e198%22	https://www.nba.com/_next/static/css/158de827fd463d06.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/158de827fd463d06.css	(from https://www.nba.com/)
18:09:25	156/156	------	403	error ('Forbidden')	text/html	etag:%22135c8a2eed3711999b91d85b41904d27:1735847945.298387%22	https://store.nba.com/women/ga-13+z-9992883065-944190737?_s=bm-nbacom-hp-womens	C:/My%20Web%20Sites/NBA_Clone/store.nba.com/women/ga-13+z-9992883065-944190737.8fba96.delayed	(from https://www.nba.com/)
18:09:25	17547/17547	------	200	untouched ('OK')	text/css	etag:W/%22448b-19c0025b870%22	https://www.nba.com/_next/static/css/39c5984dfb366012.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/39c5984dfb366012.css	(from https://www.nba.com/)
18:09:25	23778/23778	------	200	untouched ('OK')	text/css	etag:W/%225ce2-19c2446e198%22	https://www.nba.com/_next/static/css/7cae9e730b465e02.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/7cae9e730b465e02.css	(from https://www.nba.com/)
18:09:25	156/156	------	403	error ('Forbidden')	text/html	etag:%22135c8a2eed3711999b91d85b41904d27:1735847945.298387%22	https://store.nba.com/kids/ga-69+z-851589194-1574389178?_s=bm-nbacom-hp-kids	C:/My%20Web%20Sites/NBA_Clone/store.nba.com/kids/ga-69+z-851589194-1574389178.90cadc.delayed	(from https://www.nba.com/)
18:09:25	28025/28025	------	200	untouched ('OK')	text/css	etag:W/%226d79-19c2446e198%22	https://www.nba.com/_next/static/css/a0a66a96fd069c57.css	C:/My%20Web%20Sites/NBA_Clone/www.nba.com/_next/static/css/a0a66a96fd069c57.css	(from https://www.nba.com/)
